"provider","channel_type","model","example","status","reference","next_action"
"openai","1","gpt-3.5-turbo-0613","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-3.5-turbo-1106","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-3.5-turbo-16k","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-3.5-turbo-16k-0613","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-3.5-turbo-instruct","completions","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-0125-preview","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-0314","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-0613","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-1106-preview","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-32k","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-32k-0314","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-32k-0613","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-turbo","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-turbo-2024-04-09","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-turbo-preview","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4-vision-preview","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4.1","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4.1-2025-04-14","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4.1-mini","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4.1-mini-2025-04-14","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4.1-nano","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4.1-nano-2025-04-14","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4.5-preview","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4.5-preview-2025-02-27","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-2024-05-13","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-2024-08-06","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-2024-11-20","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-audio-preview","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-audio-preview-2024-10-01","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-audio-preview-2024-12-17","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-audio-preview-2025-06-03","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini-2024-07-18","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini-audio-preview","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini-audio-preview-2024-12-17","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini-realtime-preview","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini-realtime-preview-2024-12-17","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini-search-preview","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini-search-preview-2025-03-11","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini-transcribe","transcription","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/speech-to-text","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini-tts","speech","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/audio/subresources/speech/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-mini-tts-2025-12-15","speech","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/audio/subresources/speech/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-realtime-preview","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-realtime-preview-2025-06-03","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-search-preview","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-search-preview-2025-03-11","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-4o-transcribe","transcription","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/speech-to-text","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5-2025-08-07","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5-chat-latest","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5-codex","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5-mini","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5-mini-2025-08-07","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5-nano","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5-nano-2025-08-07","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5-pro","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5-pro-2025-10-06","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5-search-api","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.1","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.1-2025-11-13","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.1-chat-latest","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.1-codex","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.1-codex-max","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.1-codex-mini","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.2","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.2-2025-12-11","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.2-codex","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.2-pro","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.2-pro-2025-12-11","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.3-chat-latest","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.3-codex","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.4","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.4-2026-03-05","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.4-mini","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.4-nano","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.4-pro","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.5","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.5-2026-04-23","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.5-pro","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.6","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.6-cyber","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.6-luna","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.6-sol","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-5.6-terra","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-6-astra","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-audio","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-audio-1.5","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-audio-2025-08-28","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-audio-mini","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-audio-mini-2025-10-06","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-audio-mini-2025-12-15","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-daybreak-blue-latest","unverified","no-reviewed-example","","Determine actual channel contract and pricing unit before adding a reviewed example or implementation."
"openai","1","gpt-daybreak-red-latest","unverified","no-reviewed-example","","Determine actual channel contract and pricing unit before adding a reviewed example or implementation."
"openai","1","gpt-image-1","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-image-1-mini","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-image-1.5","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-image-1.5-2025-12-16","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-image-2","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-image-2-2026-04-21","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-image-2.5-flare","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-image-2.5-flare-2026-09-08","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-image-2.5-sunburst","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-image-2.5-sunburst-2026-09-08","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-live-transcribe","transcription","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/speech-to-text","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-realtime","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-realtime-1.5","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-realtime-2","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-realtime-2.1","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-realtime-2.1-mini","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-realtime-2025-08-28","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-realtime-mini","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-realtime-mini-2025-12-15","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-realtime-translate","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-realtime-whisper","realtime","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/voice-websockets","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-transcribe","transcription","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/speech-to-text","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o1","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o1-2024-12-17","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o1-mini","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o1-mini-2024-09-12","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o1-preview","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o1-preview-2024-09-12","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o1-pro","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o1-pro-2025-03-19","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o3","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o3-2025-04-16","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o3-deep-research","unverified","no-reviewed-example","","Determine actual channel contract and pricing unit before adding a reviewed example or implementation."
"openai","1","o3-deep-research-2025-06-26","unverified","no-reviewed-example","","Determine actual channel contract and pricing unit before adding a reviewed example or implementation."
"openai","1","o3-mini","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o3-mini-2025-01-31","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o3-pro","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o3-pro-2025-06-10","responses","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/migrate-to-responses","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o4-mini","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o4-mini-2025-04-16","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","o4-mini-deep-research","unverified","no-reviewed-example","","Determine actual channel contract and pricing unit before adding a reviewed example or implementation."
"openai","1","o4-mini-deep-research-2025-06-26","unverified","no-reviewed-example","","Determine actual channel contract and pricing unit before adding a reviewed example or implementation."
"openai","1","omni-moderation-2024-09-26","moderation","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/moderations/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","omni-moderation-latest","moderation","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/moderations/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","sora-2","video","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/video-generation","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","sora-2-pro","video","existing-example-not-requalified","https://developers.openai.com/api/docs/guides/video-generation","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","text-ada-001","completions","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","text-babbage-001","completions","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","text-curie-001","completions","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","text-davinci-002","completions","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","text-davinci-003","completions","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
